Date,Time,Sender,Message,Source
,10:46 AM,A,What about the second payment?,Screenshot_6.png
,11:30 AM,B,"23 2021 May Hi A, sending over four new POs today:",Screenshot_1.png
,11:30 AM,B,"21-12: USD 38,262.51.",Screenshot_6.png
,11:35 AM,A,That still leaves a huge balance。,Screenshot_6.png
,11:40 AM,B,"Got them MU7338,MU7339,MU7340, MU7341? 11:35 AN Yes, total around USD 250k。",Screenshot_1.png
,11:40 AM,B,"仲有29-12: USD 100k. Then on 05-01-2022: USD 127,360 >11-01-2022: USD 170,357.20 >20-01-2022: USD 150k。",Screenshot_6.png
,11:45 AM,A,That looks satisfactory Wor。,Screenshot_6.png
,11:45 AM,A,Wait,Screenshot_6.png
,11:46 AM,A,We must also add default interest from 15- 11-2021.,Screenshot_6.png
,11:50 AM,B,"Confirming. Production starts this week。 11.45 AN Great, We need these quickly。",Screenshot_1.png
,11:50 AM,B,Okay.. but keep it at 6%.,Screenshot_6.png
,11:51,A,"Agreed, AM",Screenshot_6.png
,11:52 AM,A,need written confirmation。,Screenshot_6.png
,11:55 AM,A,Any special packaging?,Screenshot_1.png
,11:55 AM,B,川 sign today。,Screenshot_6.png
,11:56 AM,B,Thank you for the extension。,Screenshot_6.png
,12:05 PM,B,Same as last time。,Screenshot_1.png
,12:10 PM,A,"Alright, Ill arrange QC early。",Screenshot_1.png
,12:15 PM,B,Thanks A,Screenshot_1.png
,12:15 PM,B,Thanks A,Screenshot_2.png
,4:45 PM,A,Great. Invoices have been issued。,Screenshot_4.png
,4:55 PM,B,"Understood. Our finance team will handle payment。 4:50 PN Kindly arrange the outstanding amounts。 4:52 PN Cashflow a bit tight, but yes。",Screenshot_4.png
,5:00 PM,A,Please keep Us updated.,Screenshot_4.png
,5:15 PM,B,Willdo.,Screenshot_4.png
,5:20 PM,A,Balance is large; so timely settlement is important。,Screenshot_4.png
,5:22 PM,B,We're working on i,Screenshot_4.png
,5:24 PM,A,B。有;肇款项巳惩逾期喇=,Screenshot_4.png
,5:30 PM,B,我知。 我酏而家遇到假期季啊延暹,Screenshot_4.png
,5:32 PM,A,"我酏已惩延期遛一次啦。而家鲦额侨 USD 869,195.31",Screenshot_4.png
,5:32 PM,A,"我酏已惩延期遛一次啦。而家鲦额侨 USD 869,195.31",Screenshot_5.png
,5:58 PM,B,Im trying my best,Screenshot_4.png
,5:58 PM,B,Im trying my best,Screenshot_5.png
,6:00 PM,B,Can we restructure the schedule? Split into installments across December-January?,Screenshot_4.png
,6:00 PM,B,Can we restructure the schedule? Split into installments across December-January?,Screenshot_5.png
,6:05 PM,A,Depends What dates do you propose?,Screenshot_5.png
,6:20 PM,B,分-做十二月至一月概羧期付款。,Screenshot_5.png
,9:40 AM,A,total around USD 455k。 Saw them,Screenshot_3.png
,9:41 AM,A,We can ship in twWo lots。,Screenshot_3.png
,9:42 AM,A,Any urgent SKU?,Screenshot_3.png
,9:43,B,MU8011 is priority。,Screenshot_3.png
,9:44 AM,A,Got i,Screenshot_3.png
,9:50 AM,A,Send me packing photos before loading. 945 AM Sure Will upload tonight。,Screenshot_3.png
11 Nov 2021,4:30 PM,A,All shipments delivered as scheduled。,Screenshot_3.png
11 Nov 2021,4:45 PM,A,"Received, QC looks good。 4.40 PN Great. Invoices have been issued。",Screenshot_3.png
11 Nov 2021,4:50 PM,B,Understood. Our finance team will handle payment。,Screenshot_3.png
12 Dec 2021,10:30 AM,B,"A, here's my proposed plan. but please don't reject immediately",Screenshot_5.png
12 Dec 2021,10:35 AM,A,look; but the numbers must make sense,Screenshot_5.png
12 Dec 2021,10:40 AM,B,First payment on 14-12 for USD 3Ok。,Screenshot_5.png
12 Dec 2021,10:45 AM,B,Are YoU kidding???不可能接受 10:42 AN It's What We can do right now。,Screenshot_5.png
12 Dec 2021,10:46 AM,A,What about the second payment?,Screenshot_5.png
21 July 2021,10:20 AM,A,Noted. Larger order this time。,Screenshot_2.png
21 July 2021,10:30 AM,B,Customer demand is high。,Screenshot_2.png
21 July 2021,10:32 AM,A,Delivery in mid-August possible。,Screenshot_2.png
21 July 2021,10:40 AM,B,Perfect. Deposit should arrive in a few days,Screenshot_2.png
21 July 2021,10:45 AM,A,Okay。,Screenshot_2.png
21 July 2021,10:46 AM,B,Please keep the same carton specs。,Screenshot_2.png
21 July 2021,10:46 AM,A,Willdo.,Screenshot_2.png
21 July 2021,9:05 AM,B,"MU7769 & A,Im issuing another batch MU7770.",Screenshot_2.png
21 July 2021,9:30 AM,B,"16 2021 AUg A,issuing 5 more POs today。",Screenshot_2.png
